stratum,clause_id,reviewer_b_status,reviewer_b_id,reviewer_b_date,reviewer_b_reason
original_clause,SHL_SONGBEN_0001,,,,
original_clause,SHL_SONGBEN_0002,,,,
original_clause,SHL_SONGBEN_0003,,,,
original_clause,SHL_SONGBEN_0004,,,,
original_clause,SHL_SONGBEN_0005,,,,
original_clause,SHL_SONGBEN_0006,,,,
original_clause,SHL_SONGBEN_0007,,,,
original_clause,SHL_SONGBEN_0008,,,,
original_clause,SHL_SONGBEN_0009,,,,
original_clause,SHL_SONGBEN_0010,,,,
original_clause,SHL_SONGBEN_0011,,,,
original_clause,SHL_SONGBEN_0012,,,,
original_clause,SHL_SONGBEN_0013,,,,
original_clause,SHL_SONGBEN_0014,,,,
original_clause,SHL_SONGBEN_0015,,,,
original_clause,SHL_SONGBEN_0016,,,,
original_clause,SHL_SONGBEN_0017,,,,
original_clause,SHL_SONGBEN_0018,,,,
original_clause,SHL_SONGBEN_0019,,,,
original_clause,SHL_SONGBEN_0020,,,,
original_clause,SHL_SONGBEN_0021,,,,
original_clause,SHL_SONGBEN_0022,,,,
original_clause,SHL_SONGBEN_0023,,,,
original_clause,SHL_SONGBEN_0024,,,,
original_clause,SHL_SONGBEN_0025,,,,
original_clause,SHL_SONGBEN_0026,,,,
original_clause,SHL_SONGBEN_0027,,,,
original_clause,SHL_SONGBEN_0028,,,,
original_clause,SHL_SONGBEN_0029,,,,
original_clause,SHL_SONGBEN_0030,,,,
original_clause,SHL_SONGBEN_0031,,,,
original_clause,SHL_SONGBEN_0032,,,,
original_clause,SHL_SONGBEN_0033,,,,
original_clause,SHL_SONGBEN_0034,,,,
original_clause,SHL_SONGBEN_0035,,,,
original_clause,SHL_SONGBEN_0036,,,,
original_clause,SHL_SONGBEN_0037,,,,
original_clause,SHL_SONGBEN_0038,,,,
original_clause,SHL_SONGBEN_0039,,,,
original_clause,SHL_SONGBEN_0040,,,,
original_clause,SHL_SONGBEN_0041,,,,
original_clause,SHL_SONGBEN_0042,,,,
original_clause,SHL_SONGBEN_0043,,,,
original_clause,SHL_SONGBEN_0044,,,,
original_clause,SHL_SONGBEN_0045,,,,
original_clause,SHL_SONGBEN_0046,,,,
original_clause,SHL_SONGBEN_0047,,,,
original_clause,SHL_SONGBEN_0048,,,,
original_clause,SHL_SONGBEN_0049,,,,
original_clause,SHL_SONGBEN_0050,,,,
original_clause,SHL_SONGBEN_0051,,,,
original_clause,SHL_SONGBEN_0052,,,,
original_clause,SHL_SONGBEN_0053,,,,
original_clause,SHL_SONGBEN_0054,,,,
original_clause,SHL_SONGBEN_0055,,,,
original_clause,SHL_SONGBEN_0056,,,,
original_clause,SHL_SONGBEN_0057,,,,
original_clause,SHL_SONGBEN_0058,,,,
original_clause,SHL_SONGBEN_0059,,,,
original_clause,SHL_SONGBEN_0060,,,,
original_clause,SHL_SONGBEN_0061,,,,
original_clause,SHL_SONGBEN_0062,,,,
original_clause,SHL_SONGBEN_0063,,,,
original_clause,SHL_SONGBEN_0064,,,,
original_clause,SHL_SONGBEN_0065,,,,
original_clause,SHL_SONGBEN_0066,,,,
original_clause,SHL_SONGBEN_0067,,,,
original_clause,SHL_SONGBEN_0068,,,,
original_clause,SHL_SONGBEN_0069,,,,
original_clause,SHL_SONGBEN_0070,,,,
original_clause,SHL_SONGBEN_0071,,,,
original_clause,SHL_SONGBEN_0072,,,,
original_clause,SHL_SONGBEN_0073,,,,
original_clause,SHL_SONGBEN_0074,,,,
original_clause,SHL_SONGBEN_0075,,,,
original_clause,SHL_SONGBEN_0076,,,,
original_clause,SHL_SONGBEN_0077,,,,
original_clause,SHL_SONGBEN_0078,,,,
original_clause,SHL_SONGBEN_0079,,,,
original_clause,SHL_SONGBEN_0080,,,,
original_clause,SHL_SONGBEN_0081,,,,
original_clause,SHL_SONGBEN_0082,,,,
original_clause,SHL_SONGBEN_0083,,,,
original_clause,SHL_SONGBEN_0084,,,,
original_clause,SHL_SONGBEN_0085,,,,
original_clause,SHL_SONGBEN_0086,,,,
original_clause,SHL_SONGBEN_0087,,,,
original_clause,SHL_SONGBEN_0088,,,,
original_clause,SHL_SONGBEN_0089,,,,
original_clause,SHL_SONGBEN_0090,,,,
original_clause,SHL_SONGBEN_0091,,,,
original_clause,SHL_SONGBEN_0092,,,,
original_clause,SHL_SONGBEN_0093,,,,
original_clause,SHL_SONGBEN_0094,,,,
original_clause,SHL_SONGBEN_0095,,,,
original_clause,SHL_SONGBEN_0096,,,,
original_clause,SHL_SONGBEN_0097,,,,
original_clause,SHL_SONGBEN_0098,,,,
original_clause,SHL_SONGBEN_0099,,,,
original_clause,SHL_SONGBEN_0100,,,,
original_clause,SHL_SONGBEN_0101,,,,
original_clause,SHL_SONGBEN_0102,,,,
original_clause,SHL_SONGBEN_0103,,,,
original_clause,SHL_SONGBEN_0104,,,,
original_clause,SHL_SONGBEN_0105,,,,
original_clause,SHL_SONGBEN_0106,,,,
original_clause,SHL_SONGBEN_0107,,,,
original_clause,SHL_SONGBEN_0108,,,,
original_clause,SHL_SONGBEN_0109,,,,
original_clause,SHL_SONGBEN_0110,,,,
original_clause,SHL_SONGBEN_0111,,,,
original_clause,SHL_SONGBEN_0112,,,,
original_clause,SHL_SONGBEN_0113,,,,
original_clause,SHL_SONGBEN_0114,,,,
original_clause,SHL_SONGBEN_0115,,,,
original_clause,SHL_SONGBEN_0116,,,,
original_clause,SHL_SONGBEN_0117,,,,
original_clause,SHL_SONGBEN_0118,,,,
original_clause,SHL_SONGBEN_0119,,,,
original_clause,SHL_SONGBEN_0120,,,,
original_clause,SHL_SONGBEN_0121,,,,
original_clause,SHL_SONGBEN_0122,,,,
original_clause,SHL_SONGBEN_0123,,,,
original_clause,SHL_SONGBEN_0124,,,,
original_clause,SHL_SONGBEN_0125,,,,
original_clause,SHL_SONGBEN_0126,,,,
original_clause,SHL_SONGBEN_0127,,,,
original_clause,SHL_SONGBEN_0128,,,,
original_clause,SHL_SONGBEN_0129,,,,
original_clause,SHL_SONGBEN_0130,,,,
original_clause,SHL_SONGBEN_0131,,,,
original_clause,SHL_SONGBEN_0132,,,,
original_clause,SHL_SONGBEN_0133,,,,
